2025-12-06 11:31:09 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/kali/Proyectos/cybersecurity/environments/dev3-refactor/platform/backend/logs/app.log', wd=18, mask=IN_MODIFY, cookie=0, name='app.log'>
2025-12-06 11:31:09 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/kali/Proyectos/cybersecurity/environments/dev3-refactor/platform/backend/logs/app.log', wd=18, mask=IN_CLOSE_WRITE, cookie=0, name='app.log'>
2025-12-06 11:31:09 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/kali/Proyectos/cybersecurity/environments/dev3-refactor/platform/backend/logs/app.log.2', wd=18, mask=IN_DELETE, cookie=0, name='app.log.2'>
2025-12-06 11:31:09 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/kali/Proyectos/cybersecurity/environments/dev3-refactor/platform/backend/logs/app.log.1', wd=18, mask=IN_MOVED_FROM, cookie=5270, name='app.log.1'>
2025-12-06 11:31:09 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/kali/Proyectos/cybersecurity/environments/dev3-refactor/platform/backend/logs/app.log.2', wd=18, mask=IN_MOVED_TO, cookie=5270, name='app.log.2'>
2025-12-06 11:31:09 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/kali/Proyectos/cybersecurity/environments/dev3-refactor/platform/backend/logs/app.log', wd=18, mask=IN_MOVED_FROM, cookie=5271, name='app.log'>
2025-12-06 11:31:09 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/kali/Proyectos/cybersecurity/environments/dev3-refactor/platform/backend/logs/app.log.1', wd=18, mask=IN_MOVED_TO, cookie=5271, name='app.log.1'>
2025-12-06 11:31:09 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/kali/Proyectos/cybersecurity/environments/dev3-refactor/platform/backend/logs/app.log', wd=18, mask=IN_CREATE, cookie=0, name='app.log'>
2025-12-06 11:31:09 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/kali/Proyectos/cybersecurity/environments/dev3-refactor/platform/backend/logs/app.log', wd=18, mask=IN_OPEN, cookie=0, name='app.log'>
2025-12-06 11:31:09 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/kali/Proyectos/cybersecurity/environments/dev3-refactor/platform/backend/logs/app.log', wd=18, mask=IN_MODIFY, cookie=0, name='app.log'>
2025-12-06 11:31:09 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/kali/Proyectos/cybersecurity/environments/dev3-refactor/platform/backend/logs/app.log', wd=18, mask=IN_MODIFY, cookie=0, name='app.log'>
2025-12-06 11:31:09 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/kali/Proyectos/cybersecurity/environments/dev3-refactor/platform/backend/logs/app.log', wd=18, mask=IN_MODIFY, cookie=0, name='app.log'>
